data-meta-instanceID,data-HutName,data-OtherHutLocation,data-GasBottle1,data-GasBottle2,data-SleepingBags,data-SleepingBagsHowMany,data-NeedWashing,data-HowManyNeedWashing,data-NeedsSparesBox,data-TickWhatNeeded,data-GearBehind,data-ListGear,data-FlyOut,data-ListFlyOut,data-HutNeedsAnythign,data-HutNeedsList,data-HutNeedsOther,data-KitchenItems,data-OtherKitchen,data-FoodItems,data-OtherFood,data-NeedsFirewood,data-ListFireThings,data-Notes,data-Photo,data-date,data-VolunteerName,
uuid:d4e366b4-a8cf-4c4e-8bbe-d388d514dc83,HowdenHut, ,Half,Full,Two, ,Yes,Two,Yes,"Ratchet, 8mmRatchetnut, Scrapper, Scourer, Sponge, Hammer, PinkTriangles, Nails, LidScrews, Pencil, PackingTape, Staples, TrappingGloves",Yes,Hhhhhh,Yes,Ggvggv,Yes,"Gumboots, ZombiePowder, Spade, Baitstation, RatBait, ToiletPaper, ChillyBin, ZombieFootBath, Damprid, HandSanitiserRefill, KitchenItems, FoodItems, Other",Dydffd,"CampOven, Billy, FishSlice, CheeseGrater, CupsX2, PlatesX2, BowlsX2, SharpKnife, ButterKnife, Forks, Spoons, TeaTowels, Cloth, DishBrush, DishwahingLiquid, CoffeePlunger, Other",Jjhgc,"CookinngOil, Salt, Pepper, Sugar, EmergencyFood, Tea, Other",Okjhhgff,Yes,"Axe, Firewood, NoFireInHut",Hgvvcc,https://drive.google.com/open?id=1T9PTF8r-efFufNJJ3dSEI6B2YGHx1O30,15/08/21,Ojhgff,
,mid_chester_hut,,three_quarters,full,one,,,,list,8mm_spanner scrapper pencil,,,yes,,no,,,,,,,no,,,,Tue Feb 24 00:00:00 UTC 2015,joel,
,plateau_creek_hut,,full,empty,two,,,,list,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer pink_triangles lid_screws pencil,,,no,,no,,,,,,,no,,,,Tue Feb 24 00:00:00 UTC 2015,joel,
,top_ettrick_hut,,one_quarter,none,two,,,,list,8mm_ratchet_nut sponge scourer pink_triangles,,,yes,,no,,,,,,,axe,,,,Tue Feb 24 00:00:00 UTC 2015,joel,
,log_cabin,,three_quarters,full,two,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner pink_triangles,yes,,no,,,,,,,no_fire,,,,Tue Feb 24 00:00:00 UTC 2015,joel,
,top_ettrick_hut,,half,none,two,,,,no,,,,no,,no,,,,,,,axe,,,,Sun Mar 01 00:00:00 UTC 2015,Norm,
,snag_hut,,full,half,two,,,,list,ratchett 8mm_ratchet_nut 8mm_spanner pencil,,,no,,no,,,,,,,no,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Aadfa5366-8ed7-47ac-8b9e-395fbca77a02%5D%2Fimage,Wed Mar 11 00:00:00 UTC 2015,mat,
,log_cabin,,half,full,two,,,,list,,,,yes,,no,,,,,,,no_fire,,,,Wed Mar 04 00:00:00 UTC 2015,joel,
,jennings_biv,,three_quarters,full,two,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer lid_screws pencil,yes,,yes,gumboots chilly_bin food_items,,,,other,Plastic box for spare food,no_fire,,,,Mon Mar 09 00:00:00 UTC 2015,joel,
,mckenzie_villa,,three_quarters,full,one,,,,yes,,,scrapper sponge hammer lid_screws,no,,yes,gumboots other,"Coal, dishwash",,,,,no,,,,Tue Mar 10 00:00:00 UTC 2015,joel,
,waterfall_biv,,half,full,one,,,,yes,,,sponge hammer pencil,yes,,yes,gumboots baitstations pindone,,,,,,no_fire,,,,Thu Mar 12 00:00:00 UTC 2015,joel,
,waterfall_biv,,half,full,one,,,,list,,,,no,,yes,other,Gumboots,,,,,no_fire,,,,Wed Mar 04 00:00:00 UTC 2015,craig,
,plateau_creek_hut,,full,full,two,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer pink_triangles lid_screws pencil,no,,no,,,,,,,no,,,,Thu Mar 19 00:00:00 UTC 2015,cayden,
,wisely_hut,,full,empty,two,,,,list,scrapper sponge scourer,,,yes,,yes,toilet_paper chilly_bin other,Gas fixed,,,,,no_fire,,,,Fri Mar 27 00:00:00 UTC 2015,Norm,
,te_au_hut,,half,none,one,,,,no,,,,no,,yes,chilly_bin,,,,,,firewood,,,,Fri Mar 27 00:00:00 UTC 2015,Norm,
,te_au_hut,,half,none,one,,,,no,,,,no,,yes,chilly_bin,,,,,,firewood,,,,Sun Jan 01 00:00:00 UTC 2012,Norm,
,takahe_valley_hut,,full,full,two,,,,list,pencil,,,yes,,yes,baitstations pindone kitchen_items,,tea_towel dishwashing_liquid,,,,no,,,,Thu Apr 09 00:00:00 UTC 2015,joel,
,snag_hut,,one_quarter,full,two,,,,yes,,,ratchett 8mm_ratchet_nut pink_triangles,yes,,yes,toilet_paper,,,,,,no,,,,Sun Apr 26 00:00:00 UTC 2015,joel,
,aurora_point_hut,,three_quarters,full,two,,,,no,,,,no,,no,,,,,,,no,,,,Mon Apr 27 00:00:00 UTC 2015,joel,
,wisely_hut,,full,half,two,,,,yes,,,8mm_ratchet_nut 8mm_spanner scrapper sponge scourer nails pencil,no,,yes,toilet_paper chilly_bin kitchen_items food_items,,dishwashing_liquid,,pepper suger emergency_food tea_bags,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A7a49344e-ffee-4abe-963b-79839b443ce1%5D%2Fimage,Thu Apr 23 00:00:00 UTC 2015,mat,
,mckenzie_villa,,full,one_quarter,one,,,,yes,,,scrapper sponge scourer pink_triangles lid_screws pencil,yes,,yes,gumboots chilly_bin kitchen_items food_items other,Sleeping bag (this is actually Top Mckenzie as it is not on list).,dish_brush dishwashing_liquid,,emergency_food,,firewood axe,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A9b22dc5e-da53-407f-8b57-005b9ad7f715%5D%2Fimage,Sun Apr 26 00:00:00 UTC 2015,mat,
,tentcamp_biv,,half,none,two,,,,no,,,,no,,yes,other,Solar not working,,,,,no_fire,,,,Sat May 30 00:00:00 UTC 2015,max,
,woodrow_biv,,one_quarter,none,one,,,,yes,,,ratchett scrapper sponge scourer nails pencil,no,,yes,gumboots baitstations pindone kitchen_items other,Food box spares box handle of water valve broken,tea_towel dishwashing_liquid,,,,no_fire,,,,Sat May 30 00:00:00 UTC 2015,max,
,top_ettrick_hut,,one_quarter,full,two,,,,yes,,,pencil,yes,,yes,kitchen_items,,cloth,,,,no,,,,Fri May 01 00:00:00 UTC 2015,joel,
,log_cabin,,full,full,two,,,,list,8mm_ratchet_nut,,,yes,,no,,,,,,,no_fire,,,,Sun May 03 00:00:00 UTC 2015,joel,
,te_au_hut,,full,half,one,,,,list,,,,no,,yes,toilet_paper kitchen_items food_items,,dishwashing_liquid,,emergency_food tea_bags,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A01936320-3ad7-4ae6-a71c-bff5037db6e0%5D%2Fimage,Wed Apr 22 00:00:00 UTC 2015,mat,
,mystery_biv,,half,full,three,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,yes,,no,,,,,,,no_fire,,,,Mon Apr 06 00:00:00 UTC 2015,Ana,
,pointburn_biv,,one_quarter,full,two,,,,yes,,,scrapper hammer pink_triangles pencil,yes,,yes,other,Candles and re bar staples,,,,,no_fire,,,,Fri Apr 10 00:00:00 UTC 2015,Ana,
,jennings_biv,,half,full,two,,,,list,8mm_spanner hammer pink_triangles nails packing_tape,,,no,,no,,,,,,,no_fire,,,,Wed Apr 22 00:00:00 UTC 2015,Tom G,
,snag_hut,,full,one_quarter,two,,,,list,pink_triangles,,,yes,,yes,toilet_paper other,"Vivid, staples",,,,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Ab4602224-db4e-42e8-9ef2-fc440195982e%5D%2Fimage,Fri Jun 05 00:00:00 UTC 2015,mat,
,mystery_biv,,full,half,three,,,,yes,,,8mm_spanner sponge hammer pink_triangles lid_screws packing_tape,yes,,no,,,,,,,no_fire,,,,Fri Jun 05 00:00:00 UTC 2015,joel,
,pointburn_biv,,one_quarter,full,two,,,,yes,,,8mm_spanner scrapper hammer pink_triangles,no,,yes,other,Candles,,,,,no_fire,,,,Sun Jun 07 00:00:00 UTC 2015,joel,
,takahe_valley_hut,,three_quarters,full,two,,,,list,scrapper,,,yes,,yes,other,Candles,,,,,firewood,,,,Wed Jun 10 00:00:00 UTC 2015,joel,
,jennings_biv,,one_quarter,full,two replacments,one,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer pink_triangles lid_screws pencil,yes,,yes,gumboots pindone toilet_paper chilly_bin kitchen_items food_items,,cheese_grater Cupsx2 cloth,,cooking_oil salt pepper suger emergency_food tea_bags,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A6d4d2119-097a-491c-ad2f-07263aa85e61%5D%2Fimage,Sun Jun 14 00:00:00 UTC 2015,thomas,
,woodrow_biv,,half,empty,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer nails lid_screws pencil packing_tape,yes,,yes,gumboots baitstations pindone toilet_paper chilly_bin kitchen_items food_items other,Spade mop,cheese_grater tea_towel cloth dishwashing_liquid,,cooking_oil salt pepper suger emergency_food tea_bags,,no_fire,,,,Mon Jun 15 00:00:00 UTC 2015,thomas,
,top_ettrick_hut,,one_quarter,full,two,,,,no,,,,yes,,yes,kitchen_items,,tea_towel cloth,,,,no,,,,Thu Jul 02 00:00:00 UTC 2015,joel,
,log_cabin,,full,full,two,,,,no,,,,yes,,yes,toilet_paper kitchen_items,,dish_brush,,,,no_fire,,,,Sat Jul 04 00:00:00 UTC 2015,joel,
,waterfall_biv,,none,none,replacments,three,,,no,,,,no,,no,,,,,,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A366a7bce-7a33-44df-b978-bd8f43109db9%5D%2Fimage,Sun Jul 05 00:00:00 UTC 2015,thomas,
,aurora_point_hut,,none,none,none,,,,no,,,,no,,no,,,,,,,no,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Afefb4a9a-89a9-45d3-a19d-d8cbb83847c4%5D%2Fimage,Thu Oct 01 00:00:00 UTC 2015,thomas,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,yes,other,,,,,,no,,,,Sat Oct 10 00:00:00 UTC 2015,craig,
,top_ettrick_hut,,half,full,two,,,,no,,,,yes,,yes,other,Marker pen. Rebar. Staples.,,,,,no,,,,Sun Oct 11 00:00:00 UTC 2015,joel,
,log_cabin,,full,full,two,,,,list,lid_screws pencil,,,yes,,yes,kitchen_items,,cloth,,,,no_fire,,,,Tue Oct 13 00:00:00 UTC 2015,joel,
,jennings_biv,,half,full,two replacments,one,,,no,,,,no,,yes,gumboots chilly_bin,,,,,,no_fire,,,,Tue Oct 20 00:00:00 UTC 2015,joel,
,woodrow_biv,,half,half,one,,,,no,,,,yes,,yes,gumboots chilly_bin kitchen_items,,dishwashing_liquid,,,,no_fire,,,,Thu Oct 22 00:00:00 UTC 2015,joel,
,wisely_hut,,half,full,two,,,,no,,,,yes,,yes,chilly_bin,,,,,,no_fire,,,,Fri Oct 23 00:00:00 UTC 2015,joel,
,te_au_hut,,half,full,one,,,,yes,,,sponge,yes,,yes,chilly_bin,,,,,,firewood,,,,Sat Oct 24 00:00:00 UTC 2015,joel,
,tentcamp_biv,,half,none,two,,,,no,,,,yes,,yes,other,Another gas bottle,,,,,no_fire,,,,Sat Oct 24 00:00:00 UTC 2015,Norm,
,mckenzie_villa,,half,none,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,chilly_bin other,Another gas bottle,,,,,firewood,,,,Sat Oct 24 00:00:00 UTC 2015,Norm,
,snag_hut,,three_quarters,none,two,,,,no,,,,yes,,no,,,,,,,no,,,,Fri Oct 30 00:00:00 UTC 2015,joel,
,aurora_point_hut,,three_quarters,full,two,,,,yes,,,sponge,no,,no,,,,,,,no,,,,Sun Nov 01 00:00:00 UTC 2015,joel,
,mystery_biv,,full,none,two,,,,list,lid_screws,,,yes,,no,,,,,,,no no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Ae1f41023-5f79-4078-902b-bdb1aab43dcf%5D%2Fimage,Sun Apr 05 00:00:00 UTC 2015,Amass,
,jennings_biv,,full,empty,one,,,,no,,,,yes,,yes,gumboots toilet_paper chilly_bin kitchen_items,,cheese_grater other,Chopping board,,,no_fire,,,,Fri Oct 30 00:00:00 UTC 2015,craig,
,pointburn_biv,,half,full,two,,,,yes,,,hammer,yes,,no,,,,,,,no_fire,,,,Mon Nov 02 00:00:00 UTC 2015,Norm,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,no,,,,,,,no,,,,Mon Nov 02 00:00:00 UTC 2015,Norm,
,snag_hut,,three_quarters,none,two,,,,no,,,,yes,,no,,,,,,,firewood,,,,Wed Dec 02 00:00:00 UTC 2015,Tom Fergus Goodman,
,aurora_point_hut,,half,full,two,,,,no,,,,no,,no,,,,,,,firewood,,,,Sat Dec 05 00:00:00 UTC 2015,Tom G,
,plateau_creek_hut,,full,full,two,,,,no,,,,yes,,yes,pindone other,Spade,,,,,no,,,,Tue Dec 01 00:00:00 UTC 2015,joel,
,top_ettrick_hut,,three_quarters,empty,two,,,,list,pencil,,,yes,,no,,,,,,,no,,,,Fri Dec 04 00:00:00 UTC 2015,joel,
,mystery_biv,,full,three_quarters,three,,,,list,8mm_spanner sponge scourer hammer pink_triangles packing_tape,,,yes,,yes,baitstations pindone other,Spares bin,,,,,no_fire,,,,Thu Dec 10 00:00:00 UTC 2015,joel,
,pointburn_biv,,one_quarter,full,two,,,,list,8mm_spanner scrapper hammer pink_triangles pencil,,,yes,,no,,,,,,,no_fire,,,,Fri Dec 11 00:00:00 UTC 2015,joel,
,jennings_biv,,three_quarters,empty,one,,,,list,,,,other,2 x fuel containers. 2 x chain oil containers. 1 gas bottle. 2 x box rubbish,yes,gumboots pindone chilly_bin kitchen_items food_items,,fish_slice cheese_grater other,vege peeler,suger,,no_fire,,,,Wed Dec 16 00:00:00 UTC 2015,Ben,
,wisely_hut,,half,full,two,,,,list,,,,yes,,yes,baitstations pindone toilet_paper chilly_bin,,,,,,no_fire,,,,Fri Dec 18 00:00:00 UTC 2015,Ben,
,te_au_hut,,one_quarter,full,one,,,,no,,,,yes,,yes,gumboots chilly_bin kitchen_items,,platesx2 bowlsx2 tea_towel cloth other,chopping board,,,firewood,,,,Sat Dec 19 00:00:00 UTC 2015,Ben,
,mckenzie_villa,,one_quarter,none,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,gumboots baitstations toilet_paper chilly_bin other,gas. candles. fly spray. spares box.,,,,,firewood,,,,Sun Dec 20 00:00:00 UTC 2015,Ben,
,mystery_biv,,full,full,three,,,,yes,,,8mm_ratchet_nut 8mm_spanner sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,baitstations pindone toilet_paper kitchen_items food_items other,Spares bin,camp_oven fish_slice cheese_grater,,cooking_oil salt pepper suger,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Ac4a4d499-cce2-4793-91a2-419960b3bba5%5D%2Fimage,Sun Oct 25 00:00:00 UTC 2015,thomas,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,yes,baitstations pindone kitchen_items food_items,,cheese_grater sharp_knife tea_towel,,,,firewood,,,,Thu Oct 29 00:00:00 UTC 2015,thomas,
,pointburn_biv,,one_quarter,full,two,,,,yes,,,scrapper hammer pink_triangles pencil,other,Large pile of extenders . One box of rubbish.  All in annex.,no,,,,,,,no_fire,,,,Thu Dec 17 00:00:00 UTC 2015,thomas,
,log_cabin,,one_quarter,full,two,,,,list,sponge lid_screws pencil,,,yes,,no,,,,,,,no_fire,,,,Sat Dec 05 00:00:00 UTC 2015,sam,
,waterfall_biv,,half,full,one,,,,yes,,,sponge,yes,,yes,gumboots,,,,,,no_fire,,,,Mon Jan 11 00:00:00 UTC 2016,norm,
