data-meta-instanceID,data-HutName,data-OtherHutLocation,data-GasBottle1,data-GasBottle2,data-SleepingBags,data-SleepingBagsHowMany,data-NeedWashing,data-HowManyNeedWashing,data-NeedsSparesBox,data-TickWhatNeeded,data-GearBehind,data-ListGear,data-FlyOut,data-ListFlyOut,data-HutNeedsAnythign,data-HutNeedsList,data-HutNeedsOther,data-KitchenItems,data-OtherKitchen,data-FoodItems,data-OtherFood,data-NeedsFirewood,data-ListFireThings,data-Notes,data-Photo,data-date,data-VolunteerName,
,chester_burn_hut,,three_quarters,none,two,,,,no,,,,no,,yes,toilet_paper kitchen_items,,Cupsx2 sharp_knife butter_knife forks spoons tea_towel cloth,,,,no,,,,Tue Jan 12 00:00:00 UTC 2016,norm,
,woodrow_biv,,half,half,one,,,,no,,,,yes,,yes,chilly_bin other,Shovel,,,,,no_fire,,,,Fri Jan 08 00:00:00 UTC 2016,joel,
,wisely_hut,,one_quarter,full,two,,,,list,,,,yes,,yes,baitstations pindone toilet_paper,,,,,,no_fire,,,,Sat Jan 09 00:00:00 UTC 2016,joel,
,tentcamp_biv,,full,none,two,,,,list,ratchett 8mm_ratchet_nut,,,yes,,yes,kitchen_items,,dish_brush,,,,no_fire,,,,Mon Jan 11 00:00:00 UTC 2016,joel,
,snag_hut,,three_quarters,none,two,,,,list,ratchett 8mm_ratchet_nut,,,yes,,no,,,,,,,no,,,,Sun Feb 07 00:00:00 UTC 2016,joel,
,aurora_point_hut,,full,half,two,,,,no,,,,no,,no,,,,,,,no,,,,Mon Feb 08 00:00:00 UTC 2016,joel,
,plateau_creek_hut,,three_quarters,full,two,,,,no,,,,yes,,yes,other,Spade.,,,,,no,,,,Mon Feb 08 00:00:00 UTC 2016,joel,
,top_ettrick_hut,,full,none,two,,,,no,,,,yes,,no,,,,,,,no,,,,Sat Feb 13 00:00:00 UTC 2016,joel,
,log_cabin,,one_quarter,full,two,,,,list,lid_screws,,,yes,,yes,other,shovel,,,,,no_fire,,,,Sun Feb 14 00:00:00 UTC 2016,joel,
,mid_chester_hut,,three_quarters,full,one,,,,no,,,,no,,yes,food_items,,,,emergency_food,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A82807bf6-655d-4e94-a96f-12889600b3d3%5D%2Fimage,Fri Feb 19 00:00:00 UTC 2016,mat,
,wisely_hut,,one_quarter,full,two,,,,list,,,,yes,,yes,baitstations pindone toilet_paper other,candle,,,,,no_fire,,,,Fri Feb 19 00:00:00 UTC 2016,joel,
,te_au_hut,,one_quarter,full,one,,,,list,8mm_ratchet_nut sponge,,,yes,,yes,chilly_bin kitchen_items,,tea_towel cloth,,,,firewood,,,,Sat Feb 20 00:00:00 UTC 2016,joel,
,mckenzie_villa,,half,none,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,chilly_bin other,spares box,,,,,no,,,,Mon Feb 22 00:00:00 UTC 2016,joel,
,woodrow_biv,,three_quarters,none,one,,,,no,,,,yes,,yes,toilet_paper kitchen_items food_items,,tea_towel dish_brush dishwashing_liquid,,emergency_food,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A54afb63a-85f5-407d-a1ba-17a2f834a126%5D%2Fimage,Wed Feb 17 00:00:00 UTC 2016,mat,
,waterfall_biv,,one_quarter,full,one,,,,yes,,,ratchett scrapper hammer,yes,,no,,,,,,,no_fire,,,,Thu Mar 03 00:00:00 UTC 2016,Norm,
,woodrow_biv,,half,none,one,,,,yes,,,pencil,yes,,yes,toilet_paper kitchen_items other,ycords for pH etc has nothing except car charger fitting.,dishwashing_liquid,,,,no_fire,,,,Mon Feb 29 00:00:00 UTC 2016,craig,
,wisely_hut,,half,full,two,,,,yes,,,8mm_spanner,yes,,yes,pindone toilet_paper kitchen_items other,there seems to be a gas leak.strong gas smell when u turn bottle on.,other,cooking oil,,,no_fire,,,,Wed Mar 02 00:00:00 UTC 2016,craig,
,log_cabin,,none,none,four,,,,list,8mm_spanner scrapper scourer pink_triangles nails,,,yes,,yes,food_items,,,,,,no_fire,,,,Sun Jun 12 00:00:00 UTC 2016,Michael Mitchell,
,top_ettrick_hut,,half,none,two,,,,list,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,,,yes,,yes,toilet_paper kitchen_items food_items other,Some more Gas? Only one bottle I think. and its half full.,other,Candles,,,no,,,,Wed Jun 15 00:00:00 UTC 2016,Michael mitchell,
,pointburn_biv,,full,half,two,,,,list,scrapper hammer pencil,,,yes,,no,,,,,,,no_fire,,,,Tue Aug 23 00:00:00 UTC 2016,joel,
,woodrow_biv,,empty,none,one,,,,no,,,,yes,,yes,toilet_paper kitchen_items food_items,,cheese_grater tea_towel cloth dishwashing_liquid,,,,no_fire,,,,Fri Aug 26 00:00:00 UTC 2016,craig,
,mid_chester_hut,,half,full,one,,,,no,,,,yes,,yes,other,Car charger,,,,,firewood,,,,Sun Aug 28 00:00:00 UTC 2016,craig,
,tentcamp_biv,,full,none,two,,,,list,ratchett 8mm_ratchet_nut pencil,,,yes,,no,,,,,,,no_fire,,,,Mon Aug 29 00:00:00 UTC 2016,joel,
,te_au_hut,,half,full,one,,,,list,sponge,,,yes,,yes,chilly_bin kitchen_items,,tea_towel,,,,firewood,,,,Sat Aug 27 00:00:00 UTC 2016,joel,
,mckenzie_villa,,one_quarter,none,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,baitstations toilet_paper chilly_bin kitchen_items,,tea_towel cloth,,,,firewood,,,,Tue Aug 30 00:00:00 UTC 2016,joel,
,snag_hut,,three_quarters,none,two,,,,list,ratchett 8mm_ratchet_nut 8mm_spanner sponge pencil,,,yes,,no,,,,,,,firewood,,,,Sat Sep 03 00:00:00 UTC 2016,joel,
,aurora_point_hut,,one_quarter,full,two,,,,list,8mm_spanner sponge pencil,,,no,,yes,kitchen_items,,tea_towel,,,,no,,,,Sun Sep 04 00:00:00 UTC 2016,joel,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,yes,pindone kitchen_items other,Spade.candles.,other,Big Tupperware tub.one @hut cracked.,,,no,,,,Fri Aug 26 00:00:00 UTC 2016,sam,
,top_ettrick_hut,,one_quarter,none,two,,,,no,,,,no,,yes,gumboots kitchen_items,,other,"Chopping board, new sponge for mop",,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Af3542883-f191-4ccf-95bd-8c1cad601496%5D%2Fimage,Thu Oct 27 00:00:00 UTC 2016,Michael Mitchell,
,mid_chester_hut,,one_quarter,full,two,,,,no,,,,yes,,yes,kitchen_items food_items other,"Wooden spatula, soap, hand sanitizer, hand saw, can opener",dishwashing_liquid,,tea_bags,,firewood,,,,Sun Oct 30 00:00:00 UTC 2016,Michael Mitchell,
,takahe_valley_hut,,three_quarters,none,two replacments,one,,,list,scrapper sponge,,,yes,,no,,,,,,,firewood,,,,Sat Nov 26 00:00:00 UTC 2016,mark,
,mystery_biv,,full,three_quarters,three,,,,yes,,,ratchett 8mm_ratchet_nut scrapper sponge scourer nails lid_screws,yes,,no,,,,,,,no_fire,,,,Wed Nov 30 00:00:00 UTC 2016,joel,
,pointburn_biv,,full,half,two,,,,no,,,,yes,,no,,,,,,,no_fire,,,,Thu Dec 01 00:00:00 UTC 2016,joel,
,snag_hut,,half,none,two,,,,list,ratchett 8mm_ratchet_nut scrapper,,,yes,,yes,kitchen_items,,tea_towel,,,,firewood,,,,Fri Dec 09 00:00:00 UTC 2016,joel,
,aurora_point_hut,,one_quarter,full,two,,,,list,8mm_spanner sponge scourer,,,no,,yes,kitchen_items,,tea_towel,,,,no,,,,Sat Dec 10 00:00:00 UTC 2016,joel,
,waterfall_biv,,full,half,one,,,,list,hammer,,,yes,,no,,,,,,,no_fire,,,,Fri Dec 16 00:00:00 UTC 2016,joel,
,woodrow_biv,,empty,none,one,,,,list,packing_tape,,,no,,yes,kitchen_items food_items other,Spade. Also couldn't charge from 12volt battery. Cigarette lighter connection not functioning neither the lights and need both types charging cables for phone and global gps,,,emergency_food,,no_fire,,,,Wed Dec 14 00:00:00 UTC 2016,other,Mark Le Lievre
,tentcamp_biv,,half,none,two,,,,list,ratchett 8mm_ratchet_nut pencil,,,yes,,no,,,,,,,no_fire,,,,Fri Dec 16 00:00:00 UTC 2016,other,Mark Le Lievre
,log_cabin,,three_quarters,full,two,,,,yes,,,packing_tape,yes,,yes,other,"tea towels, sponge or cloth",,,,,no_fire,,,,Sun Jan 08 00:00:00 UTC 2017,other,Michael
,plateau_creek_hut,,three_quarters,full,two,,,,list,,,,no,,yes,kitchen_items food_items,,,,cooking_oil,,firewood,,,,Mon Dec 05 00:00:00 UTC 2016,other,Mark
,top_ettrick_hut,,three_quarters,full,two,,,,no,,,,no,,yes,gumboots baitstations pindone toilet_paper kitchen_items food_items other,"Candles, Also mattress's need to be sugar soaped and holes repaired.",dishwashing_liquid other,"Cutting board, wooden spoon",salt suger tea_bags,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A032d1130-c4b5-4519-9c6d-c0837b294152%5D%2Fimage,Mon Dec 05 00:00:00 UTC 2016,other,Mark
,mystery_biv,,half,full,three,,,,no,,,,yes,,yes,toilet_paper,,,,,,no_fire,,,,Thu Jan 19 00:00:00 UTC 2017,other,Jeff
,pointburn_biv,,half,none,two,,,,no,,,,yes,,yes,gumboots kitchen_items,,other,Water tank,,,no_fire,,,,Thu Jan 19 00:00:00 UTC 2017,other,Jeff
,jennings_biv,,three_quarters,empty,one replacments,two,,,list,,,,yes,,yes,kitchen_items food_items,,,,cooking_oil salt pepper emergency_food,,no_fire,,,,Tue Dec 13 00:00:00 UTC 2016,other,Michael M
,wisely_hut,,three_quarters,empty,two,,,,list,scrapper sponge,,,yes,,yes,toilet_paper kitchen_items food_items,,cheese_grater cloth,,cooking_oil salt pepper suger emergency_food tea_bags,,no_fire,,,,Wed Dec 14 00:00:00 UTC 2016,other,Michael Mitchell
,te_au_hut,,three_quarters,empty,one,,,,yes,,,sponge,yes,,yes,toilet_paper kitchen_items food_items,,cheese_grater dish_brush other,"Chopping board, sugar soap/demould stuff",cooking_oil salt pepper,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A5c91174c-d784-4c7f-8b79-b7c83fb7fbe1%5D%2Fimage,Thu Dec 15 00:00:00 UTC 2016,other,Michael Mitchell
,mckenzie_villa,,three_quarters,empty,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,yes,,yes,food_items other,There is no spares box at hut.,,,salt pepper,,firewood,,,,Thu Dec 15 00:00:00 UTC 2016,other,Michael Mitchell
,plateau_creek_hut,,full,three_quarters,two,,,,no,,,,yes,,no,,,,,,,no,,,,Sat Jan 21 00:00:00 UTC 2017,other,Christopher Greenan
,top_ettrick_hut,,three_quarters,full,two,,,,no,,,,yes,,yes,gumboots kitchen_items food_items other,Candles,forks spoons other,Tin opener,,,firewood,,,,Wed Jan 25 00:00:00 UTC 2017,other,Jeff
,log_cabin,,three_quarters,full,two,,,,yes,,,packing_tape,yes,,yes,toilet_paper other,"Candles, permanent marker",,,,,no_fire,,,,Wed Jan 25 00:00:00 UTC 2017,other,Jeff
,snag_hut,,one_quarter,full,two,,,,list,8mm_spanner,,,yes,,yes,other,kindling wood,,,,,firewood,,,,Tue Jan 24 00:00:00 UTC 2017,craig,
,jennings_biv,,three_quarters,none,two,,,,no,,,,yes,,yes,other,Character,,,,,no_fire,,,,Sun Jan 29 00:00:00 UTC 2017,Jeff,
,wisely_hut,,empty,empty,two,,,,yes,,,ratchett 8mm_spanner scrapper sponge pencil packing_tape,yes,,yes,toilet_paper kitchen_items food_items,,billy Cupsx2 platesx2 bowlsx2 sharp_knife dishwashing_liquid other,"Coffee mugs, there is only one plate no bowls,cups, etc",suger other,Emergency food to be eaten without gas cooker,no_fire,,,,Sun Jan 29 00:00:00 UTC 2017,Jeff,
,te_au_hut,,half,none,one,,,,no,,,,yes,,yes,toilet_paper kitchen_items,,platesx2 bowlsx2,,,,firewood,,,,Wed Feb 01 00:00:00 UTC 2017,Jeff,
,mckenzie_villa,,three_quarters,empty,one,,,,yes,,,packing_tape,yes,,yes,toilet_paper kitchen_items food_items,,Cupsx2 sharp_knife other,Cutting board,emergency_food,,firewood,,,,Fri Feb 03 00:00:00 UTC 2017,Jeff,
,woodrow_biv,,three_quarters,half,one,,,,no,,,,yes,,yes,other,Spade,,,,,no_fire,,,,Sun Jan 29 00:00:00 UTC 2017,Chtis G,
,mystery_biv,,three_quarters,full,three,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer nails lid_screws pencil,yes,,no,,,,,,,no_fire,,,,Sat Mar 04 00:00:00 UTC 2017,James,
,pointburn_biv,,full,full,two replacments,one,,,no,,,,other,manky sleeping bag. empty fuel bottle and box of rubbish.,yes,kitchen_items,,other,some kind of general spray cleaning stuff for surfaces.,,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Ade0f77f3-2152-4aa2-a1a1-f9666cb376cf%5D%2Fimage,Sat Mar 04 00:00:00 UTC 2017,james,
,snag_hut,,half,full,two,,,,yes,,,hammer,yes,,no,,,,,,,firewood,,,,Sun Feb 26 00:00:00 UTC 2017,Jeff,
,takahe_valley_hut,,three_quarters,full,two,,,,yes,,,packing_tape,yes,,yes,other,Has 3rd gas bottle FULL,,,,,no,,,,Sat Mar 04 00:00:00 UTC 2017,Jeff,
,wisely_hut,,full,full,two,,,,yes,,,ratchett 8mm_spanner lid_screws pencil packing_tape,yes,,yes,baitstations pindone toilet_paper kitchen_items other,Remove cupboard. Need a bunch of shit taken out. Two carabiner for main and gas door.,billy Cupsx2 platesx2 bowlsx2 sharp_knife,,,,no_fire,,,,Wed Feb 22 00:00:00 UTC 2017,thomas,
,tentcamp_biv,,half,full,two,,,,list,ratchett 8mm_ratchet_nut sponge scourer pencil,,,yes,,yes,pindone kitchen_items,,other,Can opener,,,no_fire,,,,Sun Mar 12 00:00:00 UTC 2017,Chris B,
,mckenzie_villa,,three_quarters,full,one,,,,list,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,,,yes,,yes,baitstations kitchen_items,,bowlsx2 spoons,,,,no,,,,Mon Mar 13 00:00:00 UTC 2017,Chris B,
,wisely_hut,,three_quarters,full,two,,,,list,,,,yes,,yes,kitchen_items food_items,,other,"10L water tank, pot lids",emergency_food,,no_fire,,,,Sun Mar 12 00:00:00 UTC 2017,Team knows alot,
,te_au_hut,,one_quarter,full,one,,,,list,lid_screws pencil,,,yes,,no,,,,,,,no,,,,Fri Mar 10 00:00:00 UTC 2017,Chris B,
,snag_hut,,one_quarter,full,two,,,,list,scourer pink_triangles nails lid_screws pencil packing_tape,,,other,Rubbish,no,,,,,,,firewood,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A42e12d1d-03b4-4288-907b-f7ffba3aadd0%5D%2Fimage,Mon Mar 20 00:00:00 UTC 2017,Steven fortune,
,te_au_hut,,half,full,one,,,,no,,,,no,,yes,toilet_paper,,,,,,firewood,,,,Thu Mar 30 00:00:00 UTC 2017,Chris,
,waterfall_biv,,one_quarter,full,two,,,,list,scrapper hammer lid_screws packing_tape,,,yes,,yes,kitchen_items,,dish_brush,,,,no_fire,,,,Sun Apr 02 00:00:00 UTC 2017,Chris,
,mckenzie_villa,,three_quarters,full,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer nails lid_screws pencil packing_tape,no,,yes,food_items,,,,tea_bags,,firewood,,,,Sun Apr 02 00:00:00 UTC 2017,Chris,
,woodrow_biv,,full,empty,one,,,,list,ratchett 8mm_ratchet_nut 8mm_spanner sponge scourer hammer pink_triangles nails packing_tape,,,yes,,yes,other,Spade,,,,,no_fire,,,,Wed Apr 05 00:00:00 UTC 2017,Steve F,
,jennings_biv,,three_quarters,none,two,,,,no,,,,yes,,no,,,,,,,no_fire,,,,Sat Apr 08 00:00:00 UTC 2017,Steven fortune,
,wisely_hut,,half,full,two,,,,list,scrapper,,,yes,,yes,food_items,,,,emergency_food,,no_fire,,,,Mon Mar 20 00:00:00 UTC 2017,braxton,
,waterfall_biv,,one_quarter,full,two,,,,no,,,,no,,no,,,,,,,no_fire,,,,Thu Mar 30 00:00:00 UTC 2017,Braxton,
,waterfall_biv,,one_quarter,full,two,,,,list,scrapper hammer,,,yes,,no,,,,,,,no_fire,,,,Sat Apr 01 00:00:00 UTC 2017,Braxton,
,mid_chester_hut,,half,full,two,,,,no,,,,no,,no,,,,,,,firewood,,,,Sat Apr 01 00:00:00 UTC 2017,Braxton,
,Other,Dunedin,half,full,two,,,,no,,,,no,,no,,,,,,,firewood,,,,Sat Apr 01 00:00:00 UTC 2018,Rasa,