trap_line,trap_name,tunnel_types,internal_baffels,trap_types,trap_types2,lid_securitys,box_condition,note,date_reported
Clinton Valley,C001,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C001a,new_style,galve_mesh_trap_baffle,faulty_design,,65mm_screws,B,,
Clinton Valley,C002,new_style,galve_mesh_trap_baffle,good_design_trigger_bent,,65mm_screws,A,,
Clinton Valley,C002a,new_style,galve_mesh_trap_baffle,faulty_design,,65mm_screws,B,,
Clinton Valley,C003,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C003a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C004,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C004a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C005,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C005a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C006,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C006a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C007,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C007a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C008,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C008a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C009,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C009a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009b,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009d,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009e,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C009f,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C010,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C010a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C011,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C011a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C012,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C012a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C013,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C013a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C014,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C014a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C015,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C015a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C016,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C016a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C017,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C017a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C018,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C018a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C019,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C019a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C020,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C020a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C021,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C021a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C022,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C022a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C023,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C023a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C024,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C024a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C025,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C025a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C025b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C025c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C026,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C026a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C027,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C027a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,C,,
Clinton Valley,C028,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C028a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C029,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C029a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C029b,new_style,sainless_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C029c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C030,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C030a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C031,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C031a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C032,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C032a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C033,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C033a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C034,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C034a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C035,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C035a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C036,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C036a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C037,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C037a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C038,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C038a,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,B,,
Clinton Valley,C038b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C039,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C039a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C040,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C040a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C041,,,,,65mm_screws,,,
Clinton Valley,C041a,new_style,needs x1 baffle,good_design,,65mm_screws,B,,
Clinton Valley,C042,new_style,galve_mesh_trap_baffle,faulty_design,,65mm_screws,A,,
Clinton Valley,C042a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C043,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C043a,new_style,galve_mesh_trap_baffle,faulty_design,,shortscrew_and_nail,A,,
Clinton Valley,C044,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C044a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C045,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C045a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C046,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C046a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C047,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C047a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C048,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C048a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C049,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C049a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C050,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C050a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C051,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C051a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C052,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C052a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C053,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C053a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C054,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C054a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C055,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C055a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C056,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C056a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C057,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C057a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C058,missing,,,,,,,
Clinton Valley,C058a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C059,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C059a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C060,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C060a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C061,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C061a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C062,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C062a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C063,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C063a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C064,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C064a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C065,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C065a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C066,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,odk req,
Clinton Valley,C066a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C067,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C067a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C068,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C068a,new_style,galve_mesh_trap_baffle,faulty_design,good deisgn,65mm_screws,A,,
Clinton Valley,C069,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C069a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C070,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C070a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C071,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C071a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C071b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C071c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C072,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C072a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C073,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C073a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C074,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C074a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C075,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C075a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C076,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C076a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C076b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C076c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C077,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C077a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C078,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C078a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C079,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C079a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C080,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C080a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C081,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C081a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C082,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C082a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C083,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C083a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C084,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C084a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C085,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C085a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C086,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C086a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C087,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C087a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C088,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C088a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C089,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C089a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C090,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C090a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C091,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C091a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C092,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C092a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C093,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C093a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C094,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C094a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C095,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C095a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C096,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C096a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C097,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C097a,new_style,galve_mesh_trap_baffle,faulty_design,,shortscrew_and_nail,B,,
Clinton Valley,C097a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C097b,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
